Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:44:11.887260', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:44:41.907545', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:45:11.938123', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:45:41.978563', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:46:11.990739', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:46:42.032494', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.283, 'READING_POWER_IN_LOW_TARIFF': 23.233, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:47:12.074836', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.282, 'READING_POWER_IN_LOW_TARIFF': 23.234, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:47:43.795806', 'measurement': 'SmartMeter'}]
Corrupt packet, expected length 26 got 5 -> Retrying!
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.25, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:48:13.819410', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.25, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:48:43.855178', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.25, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:49:13.885479', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.252, 'READING_POWER_IN_LOW_TARIFF': 23.25, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:49:43.913763', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.25, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T21:50:13.944421', 'measurement': 'SmartMeter'}]
